id,sex,age_cat,race,decile_score,two_year_recid
132,Male,Less than 25,African-American,7,1
136,Female,25 - 45,African-American,2,0
137,Male,25 - 45,African-American,7,1
138,Male,25 - 45,Caucasian,8,1
139,Male,Less than 25,Other,6,1
142,Male,25 - 45,Caucasian,8,1
143,Male,Greater than 45,African-American,7,0
145,Female,Less than 25,Caucasian,7,0
146,Male,25 - 45,Caucasian,1,1
147,Male,Greater than 45,Caucasian,1,0
148,Female,Greater than 45,Caucasian,1,0
150,Female,25 - 45,Hispanic,1,0
151,Male,Less than 25,African-American,4,1
152,Male,Less than 25,African-American,2,0
153,Male,25 - 45,African-American,2,0
154,Female,25 - 45,Caucasian,1,1
156,Male,Less than 25,Caucasian,6,1
157,Male,25 - 45,Caucasian,4,0
158,Male,25 - 45,Caucasian,5,0
159,Female,25 - 45,Caucasian,4,0
160,Male,Greater than 45,African-American,9,1
163,Male,25 - 45,Caucasian,1,0
166,Male,Less than 25,African-American,9,1
169,Male,25 - 45,Caucasian,4,1
171,Male,25 - 45,Caucasian,5,0
173,Male,25 - 45,African-American,5,1
174,Male,25 - 45,African-American,2,0
175,Male,25 - 45,Caucasian,2,1
176,Male,25 - 45,African-American,9,1
177,Male,Less than 25,African-American,4,1
178,Male,25 - 45,African-American,8,1
180,Male,25 - 45,African-American,7,0
182,Female,25 - 45,Other,2,0
183,Male,25 - 45,Caucasian,10,1
184,Male,25 - 45,African-American,9,1
187,Male,Greater than 45,African-American,9,0
189,Male,Greater than 45,Caucasian,9,0
190,Male,25 - 45,African-American,10,1
192,Female,Greater than 45,Caucasian,1,0
193,Male,Less than 25,Caucasian,6,1
194,Male,25 - 45,Caucasian,3,0
195,Female,25 - 45,Caucasian,4,0
197,Male,25 - 45,Caucasian,2,0
199,Male,25 - 45,Caucasian,1,0
200,Female,25 - 45,Other,2,0
202,Male,25 - 45,Caucasian,2,1
203,Female,Less than 25,African-American,2,0
206,Female,25 - 45,Caucasian,4,1
208,Male,25 - 45,Caucasian,2,1
209,Female,25 - 45,Hispanic,5,1
210,Male,25 - 45,African-American,7,1
213,Male,25 - 45,Caucasian,3,1
215,Male,25 - 45,African-American,2,0
216,Male,Greater than 45,Caucasian,2,1
218,Female,Greater than 45,Caucasian,4,0
220,Female,Less than 25,African-American,10,0
222,Female,25 - 45,Caucasian,1,0
223,Male,25 - 45,African-American,8,1
224,Male,25 - 45,African-American,6,1
225,Male,25 - 45,African-American,5,1
227,Female,25 - 45,African-American,3,1
228,Female,25 - 45,African-American,9,1
229,Male,25 - 45,African-American,9,1
231,Female,Less than 25,African-American,6,0
232,Female,25 - 45,Caucasian,6,0
234,Female,Greater than 45,African-American,1,1
235,Male,Greater than 45,Other,7,1
236,Male,Greater than 45,Hispanic,1,0
238,Female,25 - 45,African-American,10,1
239,Male,25 - 45,Hispanic,4,0
240,Female,Greater than 45,Other,2,0
241,Female,25 - 45,African-American,4,1
242,Male,Greater than 45,African-American,1,0
243,Male,25 - 45,Caucasian,4,0
244,Female,25 - 45,Caucasian,7,1
245,Male,25 - 45,African-American,7,0
246,Male,Greater than 45,Caucasian,2,0
248,Male,Less than 25,African-American,2,0
249,Male,Greater than 45,Caucasian,1,1
251,Female,Greater than 45,Caucasian,6,0
252,Male,25 - 45,Caucasian,5,0
254,Male,25 - 45,African-American,2,1
257,Male,Less than 25,Hispanic,3,0
258,Female,25 - 45,African-American,7,0
259,Male,Greater than 45,Hispanic,1,0
260,Male,Greater than 45,African-American,4,0
262,Female,25 - 45,Caucasian,10,0
263,Male,Greater than 45,Caucasian,1,0
264,Male,25 - 45,Hispanic,9,1
265,Male,25 - 45,African-American,6,1
266,Male,Greater than 45,Hispanic,1,0
267,Male,Greater than 45,Hispanic,2,0
268,Male,Greater than 45,Caucasian,1,1
269,Male,Greater than 45,Caucasian,1,0
271,Male,Less than 25,Other,2,0
272,Male,25 - 45,African-American,8,1
275,Male,Less than 25,African-American,5,1
277,Male,Greater than 45,African-American,8,1
278,Male,Less than 25,African-American,2,1
279,Male,Greater than 45,Hispanic,1,0
280,Female,25 - 45,Caucasian,5,1
281,Male,Greater than 45,African-American,1,0
282,Male,Greater than 45,Caucasian,4,1
285,Female,Greater than 45,Other,3,1
286,Male,25 - 45,African-American,10,1
287,Male,25 - 45,African-American,9,1
288,Male,25 - 45,Caucasian,4,1
289,Male,25 - 45,African-American,9,1
291,Male,Greater than 45,Caucasian,3,0
293,Male,Less than 25,African-American,3,1
294,Male,25 - 45,African-American,2,0
297,Female,Less than 25,African-American,4,0
298,Male,25 - 45,Other,3,1
299,Male,Greater than 45,Caucasian,1,0
300,Female,25 - 45,Caucasian,3,0
301,Male,25 - 45,Caucasian,4,0
302,Female,25 - 45,African-American,9,1
304,Male,Less than 25,Other,5,1
306,Male,25 - 45,African-American,10,1
308,Male,25 - 45,African-American,2,0
310,Female,25 - 45,African-American,8,0
311,Male,25 - 45,Caucasian,5,1
313,Female,25 - 45,Caucasian,9,1
315,Male,25 - 45,African-American,1,0
316,Male,25 - 45,Caucasian,4,0
317,Female,25 - 45,African-American,9,0
319,Male,Greater than 45,Caucasian,1,1
320,Male,25 - 45,African-American,9,0
321,Male,25 - 45,African-American,5,0
322,Male,Greater than 45,African-American,6,0
323,Male,25 - 45,Hispanic,2,0
325,Male,Greater than 45,Caucasian,1,0
326,Female,Greater than 45,Caucasian,1,1
327,Male,Greater than 45,Caucasian,2,0
329,Male,25 - 45,Other,1,1
330,Male,Greater than 45,African-American,1,0
331,Male,25 - 45,Caucasian,3,1
332,Female,25 - 45,African-American,7,0
333,Female,25 - 45,African-American,6,0
334,Male,25 - 45,African-American,10,1
335,Male,25 - 45,African-American,1,0
336,Male,25 - 45,Other,4,1
337,Male,Greater than 45,African-American,9,0
338,Male,Less than 25,African-American,9,0
341,Female,25 - 45,African-American,4,1
344,Male,25 - 45,African-American,1,0
345,Male,Greater than 45,Caucasian,1,0
347,Male,25 - 45,Caucasian,4,1
348,Male,Greater than 45,African-American,4,0
349,Male,25 - 45,Caucasian,1,0
350,Male,25 - 45,African-American,9,1
351,Male,25 - 45,Caucasian,5,0
354,Male,Less than 25,African-American,4,0
355,Male,25 - 45,African-American,2,0
356,Male,25 - 45,Hispanic,4,0
357,Male,25 - 45,Caucasian,8,1
358,Male,25 - 45,Caucasian,2,1
359,Male,25 - 45,African-American,9,0
360,Male,25 - 45,African-American,8,0
361,Male,Greater than 45,Caucasian,1,0
362,Male,25 - 45,African-American,8,1
363,Male,25 - 45,Caucasian,5,1
364,Male,25 - 45,African-American,3,0
366,Male,Less than 25,Caucasian,8,1
369,Female,25 - 45,Other,1,0
372,Female,25 - 45,Other,2,0
374,Male,25 - 45,Caucasian,7,1
375,Male,25 - 45,Caucasian,2,0
376,Male,Less than 25,African-American,9,1
377,Female,Less than 25,Caucasian,7,1
378,Male,25 - 45,African-American,2,1
379,Female,25 - 45,Hispanic,2,0
381,Male,Less than 25,Hispanic,6,1
382,Female,Less than 25,Caucasian,5,1
383,Male,Less than 25,Hispanic,8,0
384,Male,25 - 45,African-American,3,0
385,Male,Less than 25,African-American,8,1
386,Male,25 - 45,African-American,6,1
389,Male,25 - 45,Other,1,0
390,Male,25 - 45,African-American,4,0
392,Male,25 - 45,Caucasian,4,0
393,Female,25 - 45,African-American,1,0
396,Male,Less than 25,African-American,8,0
398,Male,Less than 25,Hispanic,7,0
399,Female,Greater than 45,African-American,1,0
400,Female,Less than 25,African-American,4,1
402,Female,Greater than 45,African-American,2,0
403,Male,Greater than 45,African-American,6,1
404,Male,25 - 45,Caucasian,5,0
405,Male,25 - 45,Caucasian,6,1
406,Male,25 - 45,African-American,7,1
407,Male,Less than 25,African-American,10,1
408,Female,Less than 25,Caucasian,3,0
409,Male,25 - 45,African-American,10,0
410,Male,25 - 45,Caucasian,4,0
411,Female,25 - 45,African-American,3,0
414,Female,25 - 45,Other,2,0
415,Male,25 - 45,African-American,7,0
416,Male,Greater than 45,African-American,6,1
417,Male,25 - 45,African-American,1,0
423,Male,25 - 45,Caucasian,1,0
424,Male,25 - 45,African-American,4,1
425,Male,Greater than 45,Caucasian,1,0
426,Male,Greater than 45,Caucasian,2,1
428,Male,Greater than 45,Caucasian,4,0
429,Male,Less than 25,African-American,9,1
430,Male,25 - 45,African-American,8,1
431,Male,25 - 45,Hispanic,1,1
432,Male,25 - 45,Caucasian,4,0
434,Male,Less than 25,African-American,5,1
435,Male,25 - 45,African-American,4,0
437,Male,Less than 25,Caucasian,5,1
438,Male,25 - 45,African-American,4,1
439,Male,25 - 45,African-American,1,0
440,Male,25 - 45,African-American,3,1
441,Male,Less than 25,Other,3,0
442,Male,25 - 45,Caucasian,3,1
445,Male,Greater than 45,Caucasian,3,0
446,Female,Less than 25,African-American,6,0
450,Male,Less than 25,African-American,5,0
451,Male,Less than 25,African-American,8,1
452,Male,Greater than 45,Caucasian,1,0
454,Male,25 - 45,African-American,8,1
456,Male,25 - 45,Caucasian,3,0
457,Male,25 - 45,Other,2,1
459,Female,25 - 45,African-American,1,0
461,Male,Less than 25,Hispanic,3,0
462,Male,25 - 45,African-American,1,0
463,Male,25 - 45,Caucasian,1,1
464,Male,25 - 45,Caucasian,3,1
465,Female,25 - 45,Caucasian,2,0
467,Male,Less than 25,Other,10,1
468,Male,25 - 45,African-American,2,0
469,Male,Less than 25,African-American,10,1
474,Female,Greater than 45,Caucasian,1,0
475,Male,Greater than 45,Caucasian,1,0
478,Male,25 - 45,African-American,9,0
480,Male,Less than 25,African-American,9,1
481,Male,Greater than 45,Caucasian,1,0
484,Male,25 - 45,Caucasian,5,0
485,Male,Less than 25,African-American,9,1
487,Male,Greater than 45,Caucasian,6,1
489,Male,25 - 45,Caucasian,3,1
493,Male,Greater than 45,African-American,1,0
494,Male,Less than 25,Hispanic,5,0
495,Female,25 - 45,African-American,7,0
496,Female,25 - 45,Caucasian,4,1
497,Female,Less than 25,Hispanic,3,0
499,Male,25 - 45,Caucasian,5,0
500,Female,Less than 25,African-American,8,1
501,Male,25 - 45,Caucasian,3,0
502,Male,Less than 25,African-American,3,0
503,Male,25 - 45,African-American,6,1
504,Male,25 - 45,Other,2,1
505,Male,25 - 45,African-American,1,0
509,Female,25 - 45,Caucasian,6,0
510,Male,Greater than 45,Hispanic,1,0
511,Male,25 - 45,Other,1,0
512,Female,25 - 45,African-American,6,0
516,Male,25 - 45,African-American,9,1
517,Male,Less than 25,African-American,6,0
518,Male,Greater than 45,African-American,3,0
521,Female,25 - 45,Hispanic,3,1
522,Male,25 - 45,Caucasian,1,0
523,Male,Less than 25,African-American,10,1
524,Male,25 - 45,Hispanic,8,0
525,Male,25 - 45,Other,1,0
526,Female,Less than 25,Caucasian,6,0
527,Male,Greater than 45,Caucasian,1,0
530,Male,Less than 25,Caucasian,6,0
531,Male,25 - 45,African-American,10,1
532,Male,Less than 25,Caucasian,4,0
533,Female,Less than 25,African-American,5,1
537,Male,Greater than 45,African-American,5,0
538,Male,25 - 45,African-American,4,0
540,Female,Greater than 45,Caucasian,1,0
541,Female,25 - 45,African-American,10,0
542,Male,Less than 25,African-American,10,1
543,Male,25 - 45,Hispanic,5,1
545,Female,Less than 25,Other,4,0
546,Male,25 - 45,Hispanic,3,0
547,Male,25 - 45,Caucasian,4,0
548,Male,Less than 25,African-American,3,0
552,Male,Less than 25,Caucasian,6,1
553,Male,Greater than 45,African-American,8,0
557,Male,Less than 25,African-American,9,1
558,Male,Less than 25,African-American,5,1
561,Male,25 - 45,Caucasian,1,0
563,Female,Greater than 45,Caucasian,1,1
565,Male,25 - 45,Caucasian,7,1
566,Male,25 - 45,African-American,8,1
567,Female,Greater than 45,Caucasian,1,0
569,Female,Less than 25,African-American,4,0
572,Male,25 - 45,African-American,1,0
573,Male,25 - 45,African-American,3,0
574,Male,Less than 25,Caucasian,4,0
576,Male,25 - 45,African-American,8,1
579,Male,Less than 25,African-American,9,1
580,Male,Less than 25,Caucasian,7,0
581,Male,25 - 45,African-American,9,1
584,Male,25 - 45,African-American,5,0
586,Male,Greater than 45,African-American,1,0
587,Male,Greater than 45,African-American,1,0
588,Male,25 - 45,African-American,4,0
590,Male,Greater than 45,Caucasian,8,1
594,Female,Greater than 45,Caucasian,1,0
597,Male,25 - 45,African-American,8,1
598,Male,25 - 45,African-American,9,0
599,Male,25 - 45,Caucasian,3,0
600,Female,25 - 45,Hispanic,2,0
601,Male,Greater than 45,Caucasian,10,1
602,Male,25 - 45,African-American,7,1
603,Male,25 - 45,African-American,5,0
604,Male,Less than 25,African-American,9,1
605,Male,25 - 45,African-American,7,0
608,Male,25 - 45,Caucasian,2,0
609,Male,Greater than 45,Caucasian,1,0
611,Male,Greater than 45,African-American,3,0
612,Male,25 - 45,African-American,8,1
613,Male,Greater than 45,Caucasian,1,1
616,Male,25 - 45,African-American,2,0
617,Male,Greater than 45,Other,1,0
621,Male,Less than 25,Hispanic,3,0
622,Female,25 - 45,Caucasian,6,0
623,Male,Greater than 45,Caucasian,1,0
624,Female,Less than 25,African-American,7,0
625,Female,25 - 45,African-American,2,1
627,Male,Greater than 45,African-American,6,0
628,Male,25 - 45,Caucasian,2,1
629,Male,Less than 25,Hispanic,3,0
630,Male,Less than 25,Caucasian,3,0
633,Female,Greater than 45,Caucasian,1,0
635,Male,25 - 45,African-American,3,1
637,Male,Less than 25,Caucasian,5,1
638,Male,25 - 45,African-American,6,1
639,Male,25 - 45,Other,1,0
640,Male,Less than 25,African-American,7,1
641,Male,25 - 45,Caucasian,6,1
643,Male,25 - 45,African-American,10,0
644,Male,Greater than 45,African-American,7,1
645,Male,Less than 25,African-American,7,0
646,Male,Greater than 45,Hispanic,1,1
647,Male,25 - 45,Caucasian,4,0
648,Male,Greater than 45,African-American,5,1
649,Male,25 - 45,Caucasian,1,0
651,Male,25 - 45,African-American,4,0
653,Male,Less than 25,Caucasian,8,1
654,Male,25 - 45,Caucasian,1,0
656,Male,25 - 45,African-American,6,0
657,Female,Less than 25,African-American,10,1
659,Male,Less than 25,Caucasian,10,1
660,Male,25 - 45,Caucasian,1,0
662,Female,Less than 25,Caucasian,5,0
664,Male,25 - 45,Caucasian,1,0
668,Male,25 - 45,Hispanic,5,1
669,Male,Less than 25,African-American,10,1
673,Male,25 - 45,Hispanic,5,1
674,Male,Less than 25,African-American,2,1
675,Male,Greater than 45,Caucasian,1,0
678,Female,Greater than 45,African-American,2,0
679,Male,25 - 45,African-American,1,0
680,Male,25 - 45,African-American,3,0
681,Male,Less than 25,Caucasian,1,0
684,Male,Greater than 45,African-American,2,0
685,Female,Greater than 45,African-American,10,1
686,Male,25 - 45,Caucasian,1,1
687,Male,Less than 25,Other,8,1
688,Male,25 - 45,African-American,8,1
689,Female,Greater than 45,African-American,8,0
691,Male,25 - 45,African-American,6,1
692,Male,25 - 45,African-American,5,1
693,Male,Greater than 45,Caucasian,5,1
694,Male,25 - 45,Caucasian,4,1
696,Female,25 - 45,Native American,7,1
697,Male,Greater than 45,African-American,3,1
700,Male,25 - 45,African-American,9,1
701,Male,25 - 45,African-American,10,0
703,Male,Greater than 45,Caucasian,1,0
704,Male,25 - 45,African-American,1,0
707,Male,Less than 25,African-American,6,0
708,Male,Greater than 45,African-American,9,1
709,Male,25 - 45,African-American,7,1
711,Female,Less than 25,African-American,9,1
712,Male,Greater than 45,African-American,1,0
713,Male,Greater than 45,African-American,6,1
715,Male,Less than 25,Caucasian,5,1
716,Male,25 - 45,African-American,2,0
718,Male,Less than 25,African-American,10,1
720,Male,Greater than 45,Caucasian,1,0
721,Male,Less than 25,Hispanic,10,0
722,Male,25 - 45,Caucasian,2,0
724,Male,Greater than 45,Caucasian,1,0
726,Male,25 - 45,Caucasian,6,1
727,Male,Greater than 45,Caucasian,1,0
728,Male,25 - 45,Hispanic,1,1
729,Male,Greater than 45,Caucasian,1,1
730,Male,25 - 45,Asian,6,0
731,Male,Greater than 45,Hispanic,1,0
732,Male,25 - 45,Hispanic,4,0
737,Female,Less than 25,Caucasian,9,1
738,Male,Less than 25,Caucasian,9,1
739,Male,25 - 45,African-American,9,0
740,Male,Greater than 45,Asian,7,1
743,Male,25 - 45,African-American,2,0
745,Female,25 - 45,Caucasian,2,0
750,Male,25 - 45,Caucasian,9,1
752,Male,25 - 45,Caucasian,4,1
753,Male,Greater than 45,African-American,1,0
754,Male,25 - 45,African-American,4,1
756,Female,Greater than 45,Caucasian,1,0
757,Male,25 - 45,African-American,5,0
758,Female,Less than 25,Hispanic,5,1
760,Male,25 - 45,African-American,7,1
762,Male,25 - 45,Caucasian,3,1
763,Male,25 - 45,Hispanic,5,1
764,Male,Greater than 45,Hispanic,3,0
765,Male,Greater than 45,African-American,6,1
769,Male,25 - 45,Caucasian,5,0
770,Male,Greater than 45,Caucasian,1,0
771,Male,25 - 45,Caucasian,2,0
774,Male,25 - 45,African-American,7,0
775,Male,Greater than 45,Caucasian,3,0
779,Female,25 - 45,African-American,2,0
781,Male,Greater than 45,Other,5,0
785,Female,25 - 45,African-American,2,0
786,Female,Greater than 45,Caucasian,1,0
787,Male,25 - 45,Hispanic,4,0
788,Male,25 - 45,Other,1,0
789,Male,25 - 45,African-American,3,0
790,Female,25 - 45,African-American,4,0
792,Male,25 - 45,Other,1,0
793,Male,Greater than 45,African-American,7,1
794,Male,25 - 45,African-American,5,1
796,Male,Less than 25,Caucasian,2,0
798,Male,Greater than 45,Caucasian,7,1
800,Male,Greater than 45,African-American,8,1
803,Male,Greater than 45,African-American,5,0
804,Male,Less than 25,African-American,4,1
805,Male,25 - 45,Caucasian,4,1
806,Male,Less than 25,Caucasian,2,0
807,Male,Less than 25,Caucasian,9,0
808,Male,25 - 45,Caucasian,4,0
810,Male,25 - 45,African-American,3,1
812,Male,25 - 45,African-American,2,0
813,Male,25 - 45,African-American,4,1
814,Male,25 - 45,Caucasian,1,1
815,Male,Less than 25,Caucasian,3,1
817,Male,25 - 45,Other,1,0
818,Male,25 - 45,Caucasian,3,0
820,Male,25 - 45,Hispanic,10,0
821,Male,25 - 45,African-American,7,0
823,Male,25 - 45,African-American,7,1
825,Male,Less than 25,Caucasian,10,1
829,Male,Less than 25,Caucasian,10,1
830,Male,Less than 25,Hispanic,6,1
831,Male,Greater than 45,Caucasian,1,0
835,Male,25 - 45,African-American,9,1
836,Male,25 - 45,Hispanic,1,1
837,Male,Greater than 45,Caucasian,6,1
838,Male,25 - 45,African-American,3,0
840,Male,25 - 45,African-American,5,0
841,Male,Less than 25,Caucasian,2,0
842,Female,Greater than 45,Hispanic,1,0
843,Male,25 - 45,African-American,5,0
844,Male,Greater than 45,African-American,6,0
847,Male,25 - 45,African-American,6,0
848,Female,Greater than 45,Other,1,0
849,Male,25 - 45,African-American,3,1
850,Male,Less than 25,African-American,5,1
851,Male,Greater than 45,Caucasian,1,0
852,Male,Less than 25,African-American,7,1
853,Male,Greater than 45,African-American,3,0
855,Male,25 - 45,African-American,1,0
856,Male,25 - 45,Caucasian,6,0
857,Male,25 - 45,African-American,8,1
858,Female,25 - 45,African-American,3,0
859,Male,Less than 25,African-American,5,0
861,Male,25 - 45,Caucasian,4,1
863,Male,25 - 45,Caucasian,4,0
864,Male,Less than 25,Hispanic,8,0
867,Male,25 - 45,African-American,4,1
869,Male,25 - 45,Caucasian,3,0
870,Female,25 - 45,African-American,2,1
871,Male,25 - 45,Caucasian,1,0
872,Male,25 - 45,African-American,7,0
874,Male,25 - 45,Hispanic,6,0
875,Female,25 - 45,African-American,3,0
879,Male,Less than 25,Caucasian,4,0
880,Male,Greater than 45,Hispanic,1,0
881,Female,Greater than 45,Caucasian,1,1
882,Male,Greater than 45,Caucasian,1,1
883,Male,25 - 45,Caucasian,6,1
884,Male,Greater than 45,Caucasian,1,1
886,Female,Greater than 45,Caucasian,1,0
887,Male,25 - 45,African-American,6,1
888,Female,Less than 25,Caucasian,3,0
889,Male,Less than 25,Caucasian,4,0
890,Male,25 - 45,Other,6,1
891,Male,Less than 25,African-American,10,1
893,Male,25 - 45,Hispanic,1,0
895,Male,25 - 45,Other,2,0
897,Male,Less than 25,African-American,7,1
898,Male,25 - 45,African-American,8,0
899,Male,25 - 45,African-American,3,0
900,Female,Less than 25,Caucasian,7,0
901,Male,25 - 45,African-American,2,0
904,Male,Less than 25,Hispanic,2,1
905,Male,25 - 45,Hispanic,1,0
906,Female,Less than 25,Caucasian,5,0
909,Male,Less than 25,African-American,3,0
913,Male,25 - 45,African-American,8,1
914,Male,25 - 45,African-American,7,1
915,Male,Greater than 45,African-American,5,1
916,Male,25 - 45,African-American,2,0
917,Male,Less than 25,African-American,10,1
918,Female,25 - 45,African-American,1,0
919,Male,25 - 45,Hispanic,10,1
921,Male,25 - 45,African-American,7,0
922,Male,25 - 45,Caucasian,6,1
923,Male,25 - 45,African-American,1,0
924,Female,Greater than 45,Caucasian,1,0
925,Male,25 - 45,Caucasian,1,0
926,Male,25 - 45,African-American,7,1
927,Male,25 - 45,Caucasian,1,0
930,Male,Less than 25,African-American,8,1
932,Male,25 - 45,Hispanic,1,0
934,Male,25 - 45,African-American,5,1
935,Male,Greater than 45,Caucasian,1,0
937,Male,25 - 45,Hispanic,5,1
943,Male,25 - 45,Caucasian,2,1
944,Male,25 - 45,African-American,3,0
945,Male,25 - 45,African-American,8,0
946,Male,Greater than 45,African-American,3,1
947,Female,Less than 25,Caucasian,10,0
948,Female,Less than 25,African-American,5,0
949,Female,Less than 25,Caucasian,10,1
951,Male,25 - 45,African-American,1,0
953,Male,25 - 45,African-American,1,0
955,Male,Greater than 45,African-American,6,1
956,Male,Less than 25,African-American,10,1
958,Male,25 - 45,Hispanic,2,0
959,Male,Less than 25,African-American,9,1
960,Male,25 - 45,Caucasian,7,1
962,Male,25 - 45,Caucasian,9,0
963,Male,25 - 45,Caucasian,5,0
964,Male,Less than 25,Caucasian,5,1
965,Male,25 - 45,African-American,1,0
967,Male,25 - 45,African-American,9,1
968,Female,25 - 45,Caucasian,3,1
969,Male,Less than 25,Other,9,0
971,Female,Greater than 45,African-American,2,1
973,Female,Greater than 45,Caucasian,4,1
975,Male,Less than 25,African-American,3,0
977,Female,Less than 25,African-American,8,0
978,Male,25 - 45,African-American,2,0
979,Male,Less than 25,Caucasian,10,1
983,Male,Less than 25,Caucasian,4,1
986,Male,25 - 45,Caucasian,4,1
987,Male,25 - 45,African-American,8,1
988,Female,25 - 45,African-American,6,0
990,Female,Greater than 45,Caucasian,6,0
991,Male,Less than 25,African-American,7,0
993,Male,25 - 45,Caucasian,2,1
995,Male,25 - 45,African-American,8,1
996,Male,Less than 25,African-American,4,1
997,Female,25 - 45,African-American,2,1
998,Male,25 - 45,African-American,7,1
999,Male,25 - 45,Caucasian,1,1
1000,Male,25 - 45,African-American,10,1
1001,Male,Greater than 45,African-American,9,0
1002,Male,Less than 25,African-American,7,0
1003,Male,25 - 45,African-American,9,1
1004,Male,Less than 25,Hispanic,6,1
1005,Male,Greater than 45,African-American,2,1
1006,Male,25 - 45,African-American,4,0
1007,Female,25 - 45,African-American,3,0
1008,Male,Greater than 45,Caucasian,1,0
1009,Male,Greater than 45,Hispanic,1,0
1014,Male,Less than 25,African-American,5,0
1015,Male,25 - 45,African-American,4,0
1016,Male,25 - 45,Other,9,1
1017,Male,25 - 45,Caucasian,5,0
1018,Male,25 - 45,African-American,7,0
1020,Male,Greater than 45,Other,1,0
1022,Female,25 - 45,African-American,1,0
1023,Female,Greater than 45,Caucasian,3,0
1024,Male,25 - 45,African-American,2,0
1025,Male,25 - 45,African-American,7,1
1026,Male,Greater than 45,African-American,9,1
1027,Male,Less than 25,African-American,9,0
1030,Female,25 - 45,Caucasian,2,0
1031,Female,25 - 45,Caucasian,9,1
1032,Male,25 - 45,Hispanic,9,1
1034,Male,Less than 25,African-American,10,1
1036,Male,25 - 45,African-American,4,0
1037,Male,Less than 25,Asian,6,1
1038,Male,Greater than 45,Caucasian,1,1
1039,Male,25 - 45,African-American,9,1
1041,Female,25 - 45,African-American,2,0
1043,Male,25 - 45,African-American,7,0
1044,Male,25 - 45,African-American,5,0
1046,Male,25 - 45,African-American,5,0
1048,Male,25 - 45,African-American,8,1
1049,Male,Greater than 45,Caucasian,1,0
1051,Male,25 - 45,African-American,2,1
1054,Male,Less than 25,African-American,10,0
1055,Male,25 - 45,African-American,8,1
